INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,DISTRICT,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,STREET
I182070945,619,Larceny,D14,2/9/2018 13:00,2018,9,Sunday,LINCOLN ST
I182070943,1402,Vandalism,C11,21-08-2018 00:00,2018,8,Tuesday,HECLA ST
I182070941,3410,Towed,D4,3/9/2018 19:27,2018,9,Monday,CAZENOVE ST
I182070940,3114,Investigate Property,D4,3/9/2018 21:16,2018,9,Monday,NEWCOMB ST
I182070938,3114,Investigate Property,B3,3/9/2018 21:05,2018,9,Monday,DELHI ST
I182070936,3820,Motor Vehicle Accident Response,C11,3/9/2018 21:09,2018,9,Monday,TALBOT AVE
I182070933,724,Auto Theft,B2,3/9/2018 21:25,2018,9,Monday,NORMANDY ST
I182070932,3301,Verbal Disputes,B2,3/9/2018 20:39,2018,9,Monday,LAWN ST
I182070931,301,Robbery,C6,3/9/2018 20:48,2018,9,Monday,MASSACHUSETTS AVE
I182070929,3301,Verbal Disputes,C11,3/9/2018 20:38,2018,9,Monday,LESLIE ST
I182070928,3301,Verbal Disputes,C6,3/9/2018 19:55,2018,9,Monday,OCEAN VIEW DR
I182070927,3114,Investigate Property,C6,3/9/2018 20:19,2018,9,Monday,DALESSIO CT
I182070923,3108,Fire Related Reports,D4,3/9/2018 19:58,2018,9,Monday,MARLBOROUGH ST
I182070922,2647,Other,B3,3/9/2018 20:39,2018,9,Monday,WOODROW AVE
I182070921,3201,Property Lost,B3,2/9/2018 14:00,2018,9,Sunday,MULVEY ST
I182070920,3006,Medical Assistance,,3/9/2018 19:43,2018,9,Monday,
I182070919,3301,Verbal Disputes,C11,3/9/2018 18:52,2018,9,Monday,STONEHURST ST
I182070918,3305,Assembly or Gathering Violations,D4,3/9/2018 17:00,2018,9,Monday,HUNTINGTON AVE
I182070917,2647,Other,B2,3/9/2018 19:52,2018,9,Monday,HORADAN WAY
I182070915,614,Larceny From Motor Vehicle,B2,2/9/2018 18:00,2018,9,Sunday,SHIRLEY ST
I182070913,3006,Medical Assistance,,3/9/2018 18:46,2018,9,Monday,WOLCOTT
I182070911,3801,Motor Vehicle Accident Response,A1,3/9/2018 18:30,2018,9,Monday,BEACON ST
I182070910,3006,Medical Assistance,B3,3/9/2018 18:42,2018,9,Monday,CAPEN ST
I182070909,3803,Motor Vehicle Accident Response,E5,3/9/2018 18:33,2018,9,Monday,WASHINGTON ST
I182070908,522,Residential Burglary,B2,3/9/2018 18:38,2018,9,Monday,ANNUNCIATION RD
I182070906,3831,Motor Vehicle Accident Response,,3/9/2018 18:20,2018,9,Monday,
I182070905,3006,Medical Assistance,D4,3/9/2018 18:50,2018,9,Monday,MASSACHUSETTS AVE
I182070904,802,Simple Assault,C11,3/9/2018 18:34,2018,9,Monday,ANNAPOLIS ST
I182070904,2007,Restraining Order Violations,C11,3/9/2018 18:34,2018,9,Monday,ANNAPOLIS ST
I182070903,2900,Other,B3,3/9/2018 18:55,2018,9,Monday,BLUE HILL AVE
I182070901,2907,Violations,B3,3/9/2018 18:41,2018,9,Monday,CLARKWOOD ST
I182070900,2629,Harassment,B3,3/9/2018 18:17,2018,9,Monday,HANSBOROUGH ST
I182070898,802,Simple Assault,C11,3/9/2018 19:11,2018,9,Monday,SALISBURY PARK
I182070897,2662,Ballistics,B2,3/9/2018 18:37,2018,9,Monday,COLUMBIA RD
I182070895,3207,Property Found,A7,3/9/2018 16:43,2018,9,Monday,COTTAGE ST
I182070893,614,Larceny From Motor Vehicle,B3,3/9/2018 18:44,2018,9,Monday,WILMORE ST
I182070892,613,Larceny,B2,3/9/2018 17:54,2018,9,Monday,SHAWMUT AVE
I182070891,3109,Police Service Incidents,E13,2/9/2018 20:04,2018,9,Sunday,BRAGDON ST
I182070890,2612,Fire Related Reports,B3,3/9/2018 18:17,2018,9,Monday,CALLENDER ST
I182070889,1843,Drug Violation,,3/9/2018 18:05,2018,9,Monday,
I182070889,3125,Warrant Arrests,,3/9/2018 18:05,2018,9,Monday,
I182070889,1841,Drug Violation,,3/9/2018 18:05,2018,9,Monday,
I182070888,301,Robbery,A1,3/9/2018 15:45,2018,9,Monday,
I182070887,1402,Vandalism,D4,1/9/2018 12:00,2018,9,Saturday,W NEWTON ST
I182070886,3802,Motor Vehicle Accident Response,C11,3/9/2018 15:34,2018,9,Monday,WASHINGTON ST
I182070885,619,Larceny,B3,3/9/2018 17:17,2018,9,Monday,ELLINGTON ST
I182070882,3801,Motor Vehicle Accident Response,B2,3/9/2018 15:00,2018,9,Monday,WARD ST
I182070881,1402,Vandalism,C11,3/9/2018 15:00,2018,9,Monday,GENEVA AVE
I182070880,3018,Medical Assistance,A1,3/9/2018 17:09,2018,9,Monday,BEACH ST
I182070879,3301,Verbal Disputes,B3,3/9/2018 16:04,2018,9,Monday,NIGHTINGALE ST
I182070877,3831,Motor Vehicle Accident Response,E5,3/9/2018 15:00,2018,9,Monday,WASHINGTON ST
I182070876,3803,Motor Vehicle Accident Response,C11,3/9/2018 16:21,2018,9,Monday,E COTTAGE ST
I182070875,802,Simple Assault,A1,3/9/2018 16:55,2018,9,Monday,BEACH ST
I182070875,2405,Disorderly Conduct,A1,3/9/2018 16:55,2018,9,Monday,BEACH ST
I182070874,617,Larceny,A1,3/9/2018 16:00,2018,9,Monday,WINTER ST
I182070873,3625,Other,B2,3/9/2018 15:38,2018,9,Monday,WAYLAND ST
I182070873,3106,Property Related Damage,B2,3/9/2018 15:38,2018,9,Monday,WAYLAND ST
I182070872,1402,Vandalism,C6,31-08-2018 17:00,2018,8,Friday,A ST
I182070871,3501,Missing Person Reported,B2,3/9/2018 17:03,2018,9,Monday,PERRIN ST
I182070870,3115,Investigate Person,E18,3/9/2018 15:51,2018,9,Monday,LEXINGTON AVE
I182070868,616,Larceny,D14,3/9/2018 6:15,2018,9,Monday,CHESTNUT HILL AVE
I182070866,3807,Motor Vehicle Accident Response,,3/9/2018 16:09,2018,9,Monday,
I182070865,301,Robbery,,3/9/2018 15:54,2018,9,Monday,
I182070863,1102,Fraud,D4,1/9/2018 17:15,2018,9,Saturday,RING RD
I182070862,3801,Motor Vehicle Accident Response,B2,3/9/2018 15:29,2018,9,Monday,TREMONT ST
I182070861,3006,Medical Assistance,E13,3/9/2018 16:00,2018,9,Monday,CENTRE ST
I182070860,3114,Investigate Property,C11,3/9/2018 15:58,2018,9,Monday,CROFTLAND AVE
I182070859,3006,Medical Assistance,B2,3/9/2018 15:46,2018,9,Monday,KENSINGTON ST
I182070858,2629,Harassment,E18,3/9/2018 14:00,2018,9,Monday,DEFOREST ST
I182070857,3201,Property Lost,D4,22-08-2018 14:00,2018,8,Wednesday,HUNTINGTON AVE
I182070856,613,Larceny,D4,3/9/2018 14:31,2018,9,Monday,NEWBURY ST
I182070855,3006,Medical Assistance,B2,3/9/2018 15:14,2018,9,Monday,ROXBURY ST
I182070854,802,Simple Assault,C11,3/9/2018 15:27,2018,9,Monday,EVERETT AVE
I182070852,802,Simple Assault,E5,2/9/2018 12:30,2018,9,Sunday,VERSHIRE ST
I182070851,3115,Investigate Person,E18,3/9/2018 14:39,2018,9,Monday,CLIFFMONT ST
I182070850,3006,Medical Assistance,E18,3/9/2018 14:48,2018,9,Monday,CLARE AVE
I182070849,1849,Drug Violation,C6,3/9/2018 11:30,2018,9,Monday,MASSACHUSETTS AVE
I182070847,802,Simple Assault,B3,3/9/2018 13:07,2018,9,Monday,TENNIS RD
I182070846,613,Larceny,C11,3/9/2018 14:07,2018,9,Monday,GALLIVAN BLVD
I182070844,724,Auto Theft,D4,3/9/2018 15:01,2018,9,Monday,TREMONT ST
I182070843,3831,Motor Vehicle Accident Response,A1,3/9/2018 14:23,2018,9,Monday,HANOVER ST
I182070842,3006,Medical Assistance,D14,3/9/2018 13:32,2018,9,Monday,PRISCILLA RD
I182070841,1102,Fraud,D14,20-08-2018 12:00,2018,8,Monday,SHEPARD ST
I182070840,2647,Other,A1,3/9/2018 14:46,2018,9,Monday,MARTHA RD
I182070839,3820,Motor Vehicle Accident Response,,3/9/2018 14:21,2018,9,Monday,
I182070838,613,Larceny,D4,3/9/2018 14:00,2018,9,Monday,HUNTINGTON AVE
I182070837,3115,Investigate Person,B3,3/9/2018 13:56,2018,9,Monday,WHITFIELD ST
I182070837,3301,Verbal Disputes,B3,3/9/2018 13:56,2018,9,Monday,WHITFIELD ST
I182070836,3803,Motor Vehicle Accident Response,,3/9/2018 14:02,2018,9,Monday,
I182070835,3201,Property Lost,A1,3/9/2018 14:29,2018,9,Monday,NEW SUDBURY ST
I182070834,617,Larceny,D14,23-08-2018 10:41,2018,8,Thursday,RADCLIFFE RD
I182070833,2905,Violations,D14,3/9/2018 14:06,2018,9,Monday,FANEUIL ST
I182070833,3802,Motor Vehicle Accident Response,D14,3/9/2018 14:06,2018,9,Monday,FANEUIL ST
I182070832,3410,Towed,C6,3/9/2018 13:18,2018,9,Monday,E SIXTH ST
I182070831,1102,Fraud,D4,3/9/2018 14:17,2018,9,Monday,SAINT STEPHEN ST
I182070830,2647,Other,B2,3/9/2018 13:25,2018,9,Monday,AKRON ST
I182070829,1810,Drug Violation,B2,3/9/2018 13:45,2018,9,Monday,WOODCLIFF ST
I182070829,1842,Drug Violation,B2,3/9/2018 13:45,2018,9,Monday,WOODCLIFF ST
I182070828,613,Larceny,D4,3/9/2018 10:00,2018,9,Monday,HUNTINGTON AVE
I182070827,3801,Motor Vehicle Accident Response,A1,3/9/2018 13:28,2018,9,Monday,ENDICOTT ST
I182070826,3831,Motor Vehicle Accident Response,C11,3/9/2018 14:11,2018,9,Monday,ROSSETER ST
I182070825,3006,Medical Assistance,C11,3/9/2018 2:36,2018,9,Monday,TALBOT AVE
I182070824,3114,Investigate Property,B2,3/9/2018 13:31,2018,9,Monday,CAWFIELD ST
I182070823,614,Larceny From Motor Vehicle,B2,3/9/2018 14:00,2018,9,Monday,BLUE HILL AVE
I182070822,1402,Vandalism,C6,3/9/2018 13:44,2018,9,Monday,E SEVENTH ST
I182070820,1806,Drug Violation,,3/9/2018 13:18,2018,9,Monday,
I182070819,1848,Drug Violation,A1,3/9/2018 13:14,2018,9,Monday,TEMPLE PL
I182070818,1844,Drug Violation,A1,3/9/2018 12:46,2018,9,Monday,BEACON ST
I182070817,3831,Motor Vehicle Accident Response,D14,31-08-2018 12:00,2018,8,Friday,SUTHERLAND RD
I182070816,3301,Verbal Disputes,C6,3/9/2018 12:45,2018,9,Monday,MASSACHUSETTS AVE
I182070816,619,Larceny,C6,3/9/2018 12:45,2018,9,Monday,MASSACHUSETTS AVE
I182070815,423,Aggravated Assault,E13,3/9/2018 12:40,2018,9,Monday,CENTRE ST
I182070813,522,Residential Burglary,D4,3/9/2018 3:00,2018,9,Monday,PETERBOROUGH ST
I182070812,3115,Investigate Person,E18,3/9/2018 12:00,2018,9,Monday,WOLCOTT ST
I182070811,3006,Medical Assistance,A7,3/9/2018 11:49,2018,9,Monday,BENNINGTON ST
I182070809,3831,Motor Vehicle Accident Response,B2,3/9/2018 12:37,2018,9,Monday,FISHER AVE
I182070808,3205,License Plate Related Incidents,B2,3/9/2018 9:40,2018,9,Monday,KENSINGTON PARK
I182070807,2647,Other,E5,3/9/2018 12:01,2018,9,Monday,KEANE RD
I182070806,413,Aggravated Assault,C11,3/9/2018 12:23,2018,9,Monday,DORCHESTER AVE
I182070806,1501,Firearm Violations,C11,3/9/2018 12:23,2018,9,Monday,DORCHESTER AVE
I182070805,616,Larceny,E5,2/9/2018 21:51,2018,9,Sunday,ARCHDALE RD
I182070804,522,Residential Burglary,D14,3/9/2018 11:00,2018,9,Monday,CHAMPNEY ST
I182070803,1402,Vandalism,B3,17-08-2018 12:10,2018,8,Friday,BLUE HILL AVE
I182070802,3001,Medical Assistance,A15,3/9/2018 11:49,2018,9,Monday,HIGH ST
I182070801,3831,Motor Vehicle Accident Response,B2,2/9/2018 19:30,2018,9,Sunday,LAWRENCE AVE
I182070800,2900,Other,B2,3/9/2018 11:14,2018,9,Monday,BEAUFORD LN
I182070799,3410,Towed,,3/9/2018 11:55,2018,9,Monday,CHELSEA
I182070798,2629,Harassment,C11,3/9/2018 11:36,2018,9,Monday,WASHINGTON ST
I182070797,3301,Verbal Disputes,C11,3/9/2018 11:30,2018,9,Monday,SPEEDWELL ST
I182070796,3115,Investigate Person,A1,3/9/2018 11:07,2018,9,Monday,BEVERLY ST
I182070795,301,Robbery,C11,2/9/2018 20:30,2018,9,Sunday,LYNDHURST ST
I182070794,3301,Verbal Disputes,C11,3/9/2018 11:00,2018,9,Monday,COLUMBIA RD
I182070793,3006,Medical Assistance,C11,3/9/2018 10:33,2018,9,Monday,WESTVILLE TER
I182070792,613,Larceny,D4,3/9/2018 11:18,2018,9,Monday,BOYLSTON ST
I182070791,2900,Other,B2,3/9/2018 11:14,2018,9,Monday,BEAUFORD LN
I182070790,3801,Motor Vehicle Accident Response,A1,3/9/2018 10:52,2018,9,Monday,MILK ST
I182070788,3114,Investigate Property,B2,2/9/2018 21:30,2018,9,Sunday,TOWNSEND ST
I182070787,3410,Towed,E18,3/9/2018 10:11,2018,9,Monday,NAVARRE ST
I182070786,3830,Motor Vehicle Accident Response,A1,3/9/2018 11:08,2018,9,Monday,ATLANTIC AVE
I182070785,3801,Motor Vehicle Accident Response,C11,2/9/2018 15:10,2018,9,Sunday,FULLER ST
I182070784,3301,Verbal Disputes,B2,3/9/2018 10:42,2018,9,Monday,WHITTIER ST
I182070783,3207,Property Found,B2,3/9/2018 10:46,2018,9,Monday,TREMONT ST
I182070782,561,Other Burglary,E18,3/9/2018 10:12,2018,9,Monday,GREENWOOD AVE
I182070781,2914,Violations,E18,14-08-2018 00:00,2018,8,Tuesday,RIVER ST
I182070780,3006,Medical Assistance,B3,3/9/2018 9:36,2018,9,Monday,ASPINWALL RD
I182070779,423,Aggravated Assault,B2,3/9/2018 10:00,2018,9,Monday,HUNTINGTON AVE
I182070779,802,Simple Assault,B2,3/9/2018 10:00,2018,9,Monday,HUNTINGTON AVE
I182070779,2405,Disorderly Conduct,B2,3/9/2018 10:00,2018,9,Monday,HUNTINGTON AVE
I182070779,2610,Other,B2,3/9/2018 10:00,2018,9,Monday,HUNTINGTON AVE
I182070778,3006,Medical Assistance,B2,3/9/2018 9:51,2018,9,Monday,WHEATLEY WAY
I182070777,619,Larceny,C11,23-08-2018 13:34,2018,8,Thursday,ADAMS ST
I182070776,3410,Towed,D14,3/9/2018 10:08,2018,9,Monday,GREYLOCK RD
I182070775,3115,Investigate Person,C6,3/9/2018 9:00,2018,9,Monday,W BROADWAY
I182070774,802,Simple Assault,D4,3/9/2018 9:38,2018,9,Monday,HARRISON AVE
I182070773,3301,Verbal Disputes,C11,3/9/2018 9:38,2018,9,Monday,TOPLIFF ST
I182070771,1109,Fraud,D4,3/9/2018 9:41,2018,9,Monday,NEWBURY ST
I182070770,3201,Property Lost,B2,3/9/2018 1:00,2018,9,Monday,PERRIN ST
I182070769,3115,Investigate Person,D14,30-08-2018 12:00,2018,8,Thursday,PEACEABLE ST
I182070768,3201,Property Lost,D4,3/9/2018 9:23,2018,9,Monday,ALBANY ST
I182070766,706,Auto Theft,D4,2/9/2018 20:00,2018,9,Sunday,COMMONWEALTH AVE
I182070765,1402,Vandalism,D4,3/9/2018 5:30,2018,9,Monday,BEACON ST
I182070764,3115,Investigate Person,B2,3/9/2018 8:12,2018,9,Monday,RUGGLES ST
